Sender/Receiver,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,0.60,INF,INF,INF,1.24,0.60,INF,INF,0.96,1.00,INF,INF,1.67,INF,INF,3.97,INF,INF,INF,0.62,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,0.68,INF,0.55,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.67,INF,INF,INF
1,0.86,,INF,INF,INF,1.08,0.56,INF,INF,2.22,1.52,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.52,INF,INF,INF,INF,INF,INF,0.67,1.67,INF,INF,0.75,INF,0.83,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.25,INF,INF,INF
2,INF,INF,,0.61,INF,INF,INF,0.74,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.49,INF,INF,INF,INF,1.32,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.49,INF,INF,INF,INF,INF
3,INF,INF,0.74,,INF,INF,INF,0.45,INF,INF,INF,1.32,INF,INF,INF,INF,INF,INF,2.49,INF,INF,INF,INF,0.60,1.70,0.49,INF,INF,INF,INF,0.45,INF,INF,INF,0.61,INF,INF,INF,1.07,INF,INF,INF,INF,INF,0.55,INF,INF,INF,INF,INF
4,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,0.83,3.79,INF,INF,INF,2.38,INF,INF,INF,INF,INF,INF,INF,1.44,INF,3.79,INF,INF,INF,1.32,INF,INF,INF,INF,INF,INF,INF,0.86,INF,0.86,INF,0.45,1.43,0.67,0.55,INF,INF,INF,1.43
5,1.00,0.68,INF,INF,INF,,0.75,INF,INF,1.11,0.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.43,1.23,INF,INF,1.25,INF,1.08,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.78,INF,INF,INF
6,0.68,0.45,INF,INF,INF,1.08,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,0.62,INF,0.74,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
7,INF,INF,0.96,0.50,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,INF,0.91,INF,INF,INF,INF,INF,INF,INF,1.23,INF,INF,INF,INF,INF,1.52,INF,INF,INF,INF,INF
8,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,1.23,1.24,1.49,INF,INF,0.49,INF,1.49,INF,INF,INF,INF,INF,INF,1.24,INF,INF,INF,INF,INF,0.95,INF,INF,INF,INF,0.75,INF,0.95,INF,INF,INF,1.07,INF,INF,INF,INF,INF,INF
9,1.07,1.11,INF,INF,INF,1.44,INF,INF,INF,,0.42,INF,INF,INF,INF,2.49,INF,INF,INF,INF,5.88,0.75,INF,INF,INF,INF,INF,INF,0.95,INF,INF,INF,INF,1.07,INF,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,INF,0.55,INF,INF,INF
10,0.86,0.86,INF,INF,INF,1.07,INF,INF,INF,0.45,,INF,INF,INF,INF,2.87,INF,INF,INF,INF,INF,1.07,INF,INF,INF,INF,INF,INF,0.67,INF,INF,2.38,INF,0.86,INF,INF,INF,INF,INF,INF,INF,0.83,INF,INF,INF,INF,0.49,INF,INF,INF
11,INF,INF,INF,1.72,1.08,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,1.44,INF,1.72,INF,INF,1.23,INF,0.75,0.42,INF,INF,INF,INF,INF,0.83,INF,INF,INF,0.50,INF,INF,INF,INF,INF,INF,1.25,3.33,INF,0.61,INF,INF,INF,INF,INF
12,INF,INF,INF,INF,5.00,INF,INF,INF,0.96,INF,INF,INF,,0.60,INF,INF,0.55,5.95,INF,INF,7.35,INF,INF,INF,INF,INF,0.55,INF,INF,INF,INF,INF,1.98,INF,INF,INF,INF,1.67,INF,15.62,INF,INF,4.90,0.55,INF,INF,INF,INF,INF,INF
13,1.43,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,0.55,,INF,INF,0.54,INF,INF,INF,1.23,INF,INF,INF,INF,INF,1.44,INF,INF,INF,INF,INF,INF,20.83,INF,INF,INF,9.80,INF,2.38,INF,INF,INF,1.08,INF,INF,INF,INF,INF,INF
14,INF,INF,INF,INF,INF,INF,INF,INF,1.19,INF,INF,INF,INF,INF,,INF,INF,0.83,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.54,INF,INF,INF,INF,INF,0.68,INF,INF,INF,0.54,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
15,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.00,2.22,INF,INF,INF,INF,,INF,INF,2.86,INF,INF,0.61,INF,3.33,INF,INF,INF,INF,0.96,INF,INF,INF,INF,INF,1.19,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,INF,2.86,INF,INF,INF
16,5.88,INF,INF,INF,3.03,INF,INF,INF,INF,INF,INF,1.70,0.49,0.61,INF,INF,,INF,INF,INF,5.88,7.35,INF,INF,1.67,INF,2.16,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.79,1.07,INF,INF,INF,INF,INF,INF
17,INF,INF,INF,INF,INF,INF,INF,INF,0.55,INF,INF,INF,12.50,INF,1.25,INF,INF,,INF,1.24,INF,INF,INF,INF,INF,INF,9.80,INF,INF,INF,INF,INF,1.67,INF,INF,INF,INF,1.98,INF,0.86,INF,INF,INF,INF,INF,INF,INF,INF,2.16,INF
18,INF,INF,INF,2.22,INF,INF,INF,INF,INF,INF,INF,1.19,INF,INF,INF,3.33,INF,INF,,INF,INF,1.11,INF,0.49,1.11,2.53,INF,INF,INF,INF,2.00,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,0.86,INF,INF,3.27,INF,INF,INF,INF,INF
19,INF,INF,INF,INF,INF,INF,INF,INF,1.32,INF,INF,INF,INF,INF,0.55,INF,INF,1.11,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.55,INF,INF,INF,INF,INF,0.50,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
20,0.45,0.86,INF,INF,INF,INF,INF,INF,INF,3.97,INF,INF,14.71,0.86,INF,INF,2.98,INF,INF,INF,,INF,INF,INF,INF,INF,INF,0.56,INF,INF,INF,0.75,INF,0.45,INF,INF,INF,INF,INF,4.00,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
21,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.86,1.25,1.08,INF,INF,INF,0.83,5.05,INF,1.67,INF,INF,,INF,1.24,1.23,INF,INF,INF,1.00,INF,INF,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,INF,3.33,INF,INF,INF
22,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,0.83,2.86,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61,2.86,INF
23,INF,INF,INF,0.86,INF,INF,INF,INF,INF,INF,INF,1.00,INF,INF,INF,9.80,INF,INF,0.68,INF,INF,1.89,INF,,0.83,1.07,INF,INF,INF,INF,0.86,INF,INF,INF,0.50,INF,INF,INF,INF,INF,INF,1.52,INF,INF,0.96,INF,INF,INF,INF,INF
24,INF,INF,INF,4.00,4.20,INF,INF,INF,INF,INF,INF,0.62,INF,INF,INF,INF,4.90,INF,1.98,INF,INF,2.16,INF,1.08,,INF,INF,INF,INF,INF,1.19,INF,INF,INF,0.83,INF,INF,INF,INF,INF,INF,1.52,10.42,INF,1.52,INF,INF,INF,INF,INF
25,INF,INF,0.68,0.61,INF,INF,INF,0.83,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,3.79,INF,INF,INF,INF,0.86,INF,,INF,INF,INF,INF,1.19,INF,INF,INF,0.99,INF,INF,INF,INF,INF,INF,INF,INF,INF,2.22,INF,INF,INF,INF,INF
26,INF,INF,INF,INF,5.00,INF,INF,INF,1.11,INF,INF,INF,0.49,1.25,INF,INF,1.89,6.67,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,1.25,INF,INF,INF,INF,1.00,INF,INF,2.50,INF,4.20,0.42,INF,INF,INF,INF,INF,INF
27,0.61,0.55,INF,INF,INF,1.67,0.50,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.62,INF,INF,INF,INF,INF,INF,,INF,INF,INF,0.56,INF,0.74,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
28,INF,1.43,INF,INF,INF,2.16,INF,INF,INF,1.68,1.00,INF,INF,INF,INF,1.43,INF,INF,INF,INF,INF,1.52,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.08,INF,INF,INF,INF,0.86,INF,INF,INF
29,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,0.42,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
30,INF,INF,1.72,0.50,0.95,INF,INF,0.78,INF,INF,INF,0.61,INF,INF,INF,INF,INF,INF,2.49,INF,INF,INF,INF,0.67,0.67,0.86,INF,INF,INF,INF,,INF,INF,INF,0.55,INF,INF,INF,1.07,INF,INF,INF,1.25,INF,0.45,1.23,INF,INF,INF,INF
31,0.49,0.55,INF,INF,INF,0.93,0.42,INF,INF,INF,1.32,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,INF,INF,INF,0.42,INF,INF,INF,,INF,0.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
32,INF,INF,INF,INF,INF,INF,INF,INF,1.32,INF,INF,INF,1.67,INF,INF,INF,INF,1.43,INF,INF,INF,INF,0.83,INF,INF,INF,1.98,INF,INF,INF,INF,INF,,INF,INF,INF,INF,0.50,INF,INF,2.38,INF,INF,0.67,INF,INF,INF,1.43,1.67,INF
33,0.49,0.61,INF,INF,INF,1.70,0.61,INF,INF,0.96,1.00,INF,INF,3.33,INF,INF,INF,INF,INF,INF,0.56,INF,INF,INF,INF,INF,INF,0.67,INF,INF,INF,0.78,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.98,INF,INF,INF
34,INF,INF,INF,0.83,INF,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,2.38,INF,INF,0.50,INF,INF,0.83,INF,0.45,0.56,1.20,INF,INF,INF,INF,0.75,INF,INF,INF,,INF,INF,INF,INF,INF,INF,0.86,INF,INF,0.75,INF,INF,INF,INF,INF
35,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.91,INF,INF,INF,INF,0.62,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.56,INF,INF,INF,INF,INF,,INF,INF,INF,1.32,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
36,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.91,1.89,INF
37,INF,INF,INF,INF,INF,INF,INF,INF,0.86,INF,INF,INF,1.43,5.00,INF,INF,INF,1.25,INF,INF,INF,INF,1.72,INF,INF,INF,1.19,INF,INF,INF,INF,INF,0.42,INF,INF,INF,INF,,INF,INF,INF,INF,INF,1.00,INF,INF,INF,1.44,2.50,INF
38,INF,INF,INF,1.89,1.07,INF,INF,1.70,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,INF,INF,INF,INF,,INF,1.07,INF,0.72,INF,1.68,0.50,INF,INF,INF,0.74
39,INF,INF,INF,INF,INF,INF,INF,INF,0.86,INF,INF,INF,3.79,1.98,0.61,INF,INF,0.75,INF,0.61,1.49,INF,INF,INF,INF,INF,INF,INF,INF,0.75,INF,INF,INF,INF,INF,0.95,INF,INF,INF,,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF
40,INF,INF,INF,INF,1.19,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,4.90,INF,INF,INF,INF,INF,4.00,INF,INF,INF,INF,INF,0.96,INF,,INF,0.56,1.25,10.42,0.50,INF,INF,INF,0.75
41,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.74,0.74,0.93,INF,INF,INF,0.45,INF,INF,0.95,INF,INF,0.45,INF,1.00,0.86,INF,INF,INF,0.78,INF,INF,INF,INF,INF,0.60,INF,INF,INF,INF,INF,INF,,INF,INF,INF,INF,1.44,INF,INF,INF
42,INF,INF,INF,INF,0.42,INF,INF,INF,INF,INF,INF,1.43,3.33,INF,INF,INF,3.03,INF,INF,INF,INF,INF,INF,INF,1.67,INF,2.87,INF,INF,INF,0.93,INF,INF,INF,INF,INF,INF,INF,0.50,INF,0.45,INF,,0.83,0.83,0.42,INF,INF,INF,0.56
43,INF,INF,INF,INF,1.98,INF,INF,INF,1.25,INF,INF,INF,0.67,1.43,INF,INF,1.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.50,INF,INF,INF,INF,INF,0.83,INF,INF,INF,INF,1.24,INF,INF,1.44,INF,1.11,,INF,2.00,INF,INF,INF,5.00
44,INF,INF,2.00,0.49,0.60,INF,INF,1.00,INF,INF,INF,0.45,INF,INF,INF,INF,INF,INF,4.31,INF,INF,INF,INF,0.74,0.67,1.33,INF,INF,INF,INF,0.42,INF,INF,INF,0.55,INF,INF,INF,0.95,INF,3.33,INF,1.11,INF,,1.07,INF,INF,INF,INF
45,INF,INF,INF,INF,0.60,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.70,INF,INF,INF,INF,INF,INF,INF,0.45,INF,0.45,INF,0.45,1.70,1.49,,INF,INF,INF,0.54
46,1.43,0.83,INF,INF,INF,0.95,INF,INF,INF,0.60,0.55,INF,INF,INF,INF,3.97,INF,INF,INF,INF,INF,2.50,INF,INF,INF,INF,INF,INF,0.60,INF,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,1.70,INF,INF,INF,INF,,INF,INF,INF
47,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.49,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.96,INF,INF,INF,1.11,1.25,INF,INF,INF,INF,INF,INF,INF,INF,INF,,0.74,INF
48,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.89,INF,INF,INF,INF,1.23,INF,INF,INF,INF,INF,INF,INF,INF,INF,1.11,INF,INF,INF,1.24,1.68,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.67,,INF
49,INF,INF,INF,INF,1.67,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,INF,0.61,INF,0.60,INF,0.62,2.53,INF,0.50,INF,INF,INF,
